문서 번호,(구)파일명,확장자,이동 상태,최종 업로드일,담당자(부서),권한 정보,용량(MB),폴더 경로
DOC01018,Y24 감사의 달 세트컷.jpg,.jpg,,1980. 1. 1,,,18.26,D:\01. 빌리프_컨텐츠아카이빙\01. 빌리프 드라이브\02. 연출컷 모음\연출컷 모음\24년 감사세트\
DOC01019,Y24 감사의 달_넉다운 2sku.jpg,.jpg,,1980. 1. 1,,,19.95,D:\01. 빌리프_컨텐츠아카이빙\01. 빌리프 드라이브\02. 연출컷 모음\연출컷 모음\24년 감사세트\
DOC01020,Y24 감사의 달_맨올로지 리차저 100.jpg,.jpg,,1980. 1. 1,,,16.07,D:\01. 빌리프_컨텐츠아카이빙\01. 빌리프 드라이브\02. 연출컷 모음\연출컷 모음\24년 감사세트\
DOC01021,Y24 감사의 달_프솔 2종 세트.jpg,.jpg,,1980. 1. 1,,,13.82,D:\01. 빌리프_컨텐츠아카이빙\01. 빌리프 드라이브\02. 연출컷 모음\연출컷 모음\24년 감사세트\
DOC01022,프솔 점보(Y24).jpg,.jpg,,1980. 1. 1,,,14.91,D:\01. 빌리프_컨텐츠아카이빙\01. 빌리프 드라이브\02. 연출컷 모음\연출컷 모음\24년 감사세트\
DOC01023,20231215 belif47511.jpg,.jpg,,2024. 1. 12,,,24.57,D:\01. 빌리프_컨텐츠아카이빙\01. 빌리프 드라이브\02. 연출컷 모음\연출컷 모음\24년 뉴이어에디션\
DOC01024,20231215 belif48111.jpg,.jpg,,2024. 1. 12,,,18.47,D:\01. 빌리프_컨텐츠아카이빙\01. 빌리프 드라이브\02. 연출컷 모음\연출컷 모음\24년 뉴이어에디션\
DOC01025,20231215 belif4837.jpg,.jpg,,2024. 1. 12,,,17.54,D:\01. 빌리프_컨텐츠아카이빙\01. 빌리프 드라이브\02. 연출컷 모음\연출컷 모음\24년 뉴이어에디션\
DOC01026,20231215 belif4854.jpg,.jpg,,2024. 1. 12,,,22.14,D:\01. 빌리프_컨텐츠아카이빙\01. 빌리프 드라이브\02. 연출컷 모음\연출컷 모음\24년 뉴이어에디션\
DOC01027,20231215 belif4886.jpg,.jpg,,2024. 1. 12,,,23.43,D:\01. 빌리프_컨텐츠아카이빙\01. 빌리프 드라이브\02. 연출컷 모음\연출컷 모음\24년 뉴이어에디션\
DOC01028,20240827 belif4572.jpg,.jpg,,1980. 1. 1,,,19.97,D:\01. 빌리프_컨텐츠아카이빙\01. 빌리프 드라이브\02. 연출컷 모음\연출컷 모음\24년 모밤점보\
DOC01029,20240827 belif4638.jpg,.jpg,,1980. 1. 1,,,17.91,D:\01. 빌리프_컨텐츠아카이빙\01. 빌리프 드라이브\02. 연출컷 모음\연출컷 모음\24년 모밤점보\
DOC01030,20240904 belif3978.jpg,.jpg,,1980. 1. 1,,,12.93,D:\01. 빌리프_컨텐츠아카이빙\01. 빌리프 드라이브\02. 연출컷 모음\연출컷 모음\24년 모밤점보\
DOC01031,241220_LG0194_2.jpg,.jpg,,2025. 1. 2,,,21.53,D:\01. 빌리프_컨텐츠아카이빙\01. 빌리프 드라이브\02. 연출컷 모음\연출컷 모음\25년 신년에디션\
DOC01032,241220_LG0266_2.jpg,.jpg,,2025. 1. 2,,,21.4,D:\01. 빌리프_컨텐츠아카이빙\01. 빌리프 드라이브\02. 연출컷 모음\연출컷 모음\25년 신년에디션\
DOC01033,241220_LG0291_1.jpg,.jpg,,2025. 1. 2,,,25.46,D:\01. 빌리프_컨텐츠아카이빙\01. 빌리프 드라이브\02. 연출컷 모음\연출컷 모음\25년 신년에디션\
DOC01034,241220_LG0358_2.jpg,.jpg,,2025. 1. 2,,,27.56,D:\01. 빌리프_컨텐츠아카이빙\01. 빌리프 드라이브\02. 연출컷 모음\연출컷 모음\25년 신년에디션\
DOC01035,241220_LG0403_1 (1).jpg,.jpg,,2024. 12. 24,,,5.7,D:\01. 빌리프_컨텐츠아카이빙\01. 빌리프 드라이브\02. 연출컷 모음\연출컷 모음\25년 신년에디션\
DOC01036,[52101957]-belif-numero10jumbo-200ml-01.jpg,.jpg,,2023. 5. 25,,,15.02,D:\01. 빌리프_컨텐츠아카이빙\01. 빌리프 드라이브\02. 연출컷 모음\연출컷 모음\@연출컷 샘플링\연출컷_Product Photography\정품-product\베이직-basic\뉴메로-numero\23년뉴메로10점보-23numero10jumbo\
DOC01037,[52101957]-belif-numero10jumbo-200ml-02.jpg,.jpg,,2023. 5. 25,,,3.73,D:\01. 빌리프_컨텐츠아카이빙\01. 빌리프 드라이브\02. 연출컷 모음\연출컷 모음\@연출컷 샘플링\연출컷_Product Photography\정품-product\베이직-basic\뉴메로-numero\23년뉴메로10점보-23numero10jumbo\
DOC01038,[52101957]-belif-numero10jumbo-200ml-03.jpg,.jpg,,2023. 5. 25,,,4.79,D:\01. 빌리프_컨텐츠아카이빙\01. 빌리프 드라이브\02. 연출컷 모음\연출컷 모음\@연출컷 샘플링\연출컷_Product Photography\정품-product\베이직-basic\뉴메로-numero\23년뉴메로10점보-23numero10jumbo\
DOC01039,[52101957]-belif-numero10jumbo-200ml-04.jpg,.jpg,,2023. 5. 25,,,4.11,D:\01. 빌리프_컨텐츠아카이빙\01. 빌리프 드라이브\02. 연출컷 모음\연출컷 모음\@연출컷 샘플링\연출컷_Product Photography\정품-product\베이직-basic\뉴메로-numero\23년뉴메로10점보-23numero10jumbo\
DOC01040,[52101617]-belif-numero10-75ml-01.jpg,.jpg,,2023. 5. 25,,,7.76,D:\01. 빌리프_컨텐츠아카이빙\01. 빌리프 드라이브\02. 연출컷 모음\연출컷 모음\@연출컷 샘플링\연출컷_Product Photography\정품-product\베이직-basic\뉴메로-numero\뉴메로-numero\
DOC01041,[52101617]-belif-numero10-75ml-02.jpg,.jpg,,2023. 5. 25,,,1.71,D:\01. 빌리프_컨텐츠아카이빙\01. 빌리프 드라이브\02. 연출컷 모음\연출컷 모음\@연출컷 샘플링\연출컷_Product Photography\정품-product\베이직-basic\뉴메로-numero\뉴메로-numero\
