문서 번호,(구)파일명,확장자,이동 상태,최종 업로드일,담당자(부서),권한 정보,용량(MB),용량(MB),용량(KB),용량,Folder Path,,,,,,,,,,,,,,,,,,,,,
DOC00147,0413_[빌리프] 23년 5월 감사의 달_프라블럼 솔루션 세트_Q 출고데이터.jpg,.jpg,보류,2023. 4. 13,,,4.02,4.02,4121.52,4220440,C:\Users\LGCARE\Desktop\01. 빌리프_컨텐츠아카이빙\01. 빌리프 드라이브\zip파일\누끼컷 모음\23년 5월 감사세트\,,,,,,,,,,,,,,,,,,,,,
DOC00148,0413_[빌리프] 23년 5월 감사의 달_프라블럼 솔루션 세트_박스_Q 출고데이터.jpg,.jpg,보류,2023. 4. 13,,,2.93,2.93,2999.40,3071386,C:\Users\LGCARE\Desktop\01. 빌리프_컨텐츠아카이빙\01. 빌리프 드라이브\zip파일\누끼컷 모음\23년 5월 감사세트\,,,,,,,,,,,,,,,,,,,,,
DOC00149,1124_[빌리프] 뉴메로 10 에센스 200 점보기획 (23년)_세트박스_Q 출고데이터.psd,.psd,보류,2022. 11. 24,,,105.36,105.36,107888.98,110478315,C:\Users\LGCARE\Desktop\01. 빌리프_컨텐츠아카이빙\01. 빌리프 드라이브\zip파일\누끼컷 모음\23년 뉴메로 점보\,,,,,,,,,,,,,,,,,,,,,
DOC00150,1124_[빌리프] 뉴메로 10 에센스 200 점보기획 (23년)_칫솔꽂이_Q 출고데이터.psd,.psd,보류,2022. 11. 24,,,35.55,35.55,36402.24,37275895,C:\Users\LGCARE\Desktop\01. 빌리프_컨텐츠아카이빙\01. 빌리프 드라이브\zip파일\누끼컷 모음\23년 뉴메로 점보\,,,,,,,,,,,,,,,,,,,,,
DOC00151,1207_[빌리프] 뉴메로 10 에센스 200 점보기획 (23년)_세트컷_Q 출고데이터.psd,.psd,보류,2022. 12. 7,,,34.65,34.65,35482.38,36333958,C:\Users\LGCARE\Desktop\01. 빌리프_컨텐츠아카이빙\01. 빌리프 드라이브\zip파일\누끼컷 모음\23년 뉴메로 점보\,,,,,,,,,,,,,,,,,,,,,
DOC00152,1124_[빌리프] 뉴메로 10 에센스 200 점보기획 (23년)_세트박스_Q 출고데이터.jpg,.jpg,보류,2022. 11. 23,,,1.46,1.46,1497.98,1533933,C:\Users\LGCARE\Desktop\01. 빌리프_컨텐츠아카이빙\01. 빌리프 드라이브\zip파일\누끼컷 모음\23년 뉴메로 점보\JPG\,,,,,,,,,,,,,,,,,,,,,
DOC00153,1124_[빌리프] 뉴메로 10 에센스 200 점보기획 (23년)_칫솔꽂이_Q 출고데이터.jpg,.jpg,보류,2022. 11. 23,,,0.23,0.23,239.63,245382,C:\Users\LGCARE\Desktop\01. 빌리프_컨텐츠아카이빙\01. 빌리프 드라이브\zip파일\누끼컷 모음\23년 뉴메로 점보\JPG\,,,,,,,,,,,,,,,,,,,,,
DOC00154,1207_[빌리프] 뉴메로 10 에센스 200 점보기획 (23년)_세트컷_Q 출고데이터.jpg,.jpg,보류,2022. 12. 7,,,5.35,5.35,5482.40,5613976,C:\Users\LGCARE\Desktop\01. 빌리프_컨텐츠아카이빙\01. 빌리프 드라이브\zip파일\누끼컷 모음\23년 뉴메로 점보\JPG\,,,,,,,,,,,,,,,,,,,,,
DOC00155,1124_[빌리프] 뉴메로 10 에센스 200 점보기획 (23년)_세트박스_Q 출고데이터.png,.png,보류,2022. 11. 24,,,17.56,17.56,17983.65,18415261,C:\Users\LGCARE\Desktop\01. 빌리프_컨텐츠아카이빙\01. 빌리프 드라이브\zip파일\누끼컷 모음\23년 뉴메로 점보\PNG\,,,,,,,,,,,,,,,,,,,,,
DOC00156,1124_[빌리프] 뉴메로 10 에센스 200 점보기획 (23년)_칫솔꽂이_Q 출고데이터.png,.png,보류,2022. 11. 24,,,4.66,4.66,4773.94,4888519,C:\Users\LGCARE\Desktop\01. 빌리프_컨텐츠아카이빙\01. 빌리프 드라이브\zip파일\누끼컷 모음\23년 뉴메로 점보\PNG\,,,,,,,,,,,,,,,,,,,,,
DOC00157,1207_[빌리프] 뉴메로 10 에센스 200 점보기획 (23년)_세트컷_Q 출고데이터.png,.png,보류,2022. 12. 7,,,10.78,10.78,11040.59,11305564,C:\Users\LGCARE\Desktop\01. 빌리프_컨텐츠아카이빙\01. 빌리프 드라이브\zip파일\누끼컷 모음\23년 뉴메로 점보\PNG\,,,,,,,,,,,,,,,,,,,,,
DOC00158,0612_[빌리프] UV프로텍터 아쿠아밤 선 세럼_23년 써머에디션_박스_Q 출고데이터.jpg,.jpg,보류,2023. 6. 12,,,1.13,1.13,1154.79,1182506,C:\Users\LGCARE\Desktop\01. 빌리프_컨텐츠아카이빙\01. 빌리프 드라이브\zip파일\누끼컷 모음\23년 썸머에디션\JPG\,,,,,,,,,,,,,,,,,,,,,
DOC00159,0612_[빌리프] UV프로텍터 아쿠아밤 선 세럼_23년 써머에디션_세트_Q 출고데이터.jpg,.jpg,보류,2023. 6. 12,,,0.75,0.75,769.86,788337,C:\Users\LGCARE\Desktop\01. 빌리프_컨텐츠아카이빙\01. 빌리프 드라이브\zip파일\누끼컷 모음\23년 썸머에디션\JPG\,,,,,,,,,,,,,,,,,,,,,
DOC00160,0612_[빌리프] 뉴메로 10에센스 점보기획_23년 써머에디션_박스_Q 출고데이터.jpg,.jpg,보류,2023. 6. 12,,,2.98,2.98,3053.17,3126447,C:\Users\LGCARE\Desktop\01. 빌리프_컨텐츠아카이빙\01. 빌리프 드라이브\zip파일\누끼컷 모음\23년 썸머에디션\JPG\,,,,,,,,,,,,,,,,,,,,,
DOC00161,0612_[빌리프] 뉴메로 10에센스 점보기획_23년 써머에디션_세트_Q 출고데이터.jpg,.jpg,보류,2023. 6. 12,,,1.10,1.10,1126.26,1153294,C:\Users\LGCARE\Desktop\01. 빌리프_컨텐츠아카이빙\01. 빌리프 드라이브\zip파일\누끼컷 모음\23년 썸머에디션\JPG\,,,,,,,,,,,,,,,,,,,,,
DOC00162,0612_[빌리프] 더트루 크림 아쿠아밤_23년 써머에디션_박스_Q 출고데이터.jpg,.jpg,보류,2023. 6. 12,,,1.42,1.42,1453.62,1488508,C:\Users\LGCARE\Desktop\01. 빌리프_컨텐츠아카이빙\01. 빌리프 드라이브\zip파일\누끼컷 모음\23년 썸머에디션\JPG\,,,,,,,,,,,,,,,,,,,,,
DOC00163,0612_[빌리프] 더트루 크림 아쿠아밤_23년 써머에디션_세트_Q 출고데이터.jpg,.jpg,보류,2023. 6. 12,,,0.85,0.85,866.43,887226,C:\Users\LGCARE\Desktop\01. 빌리프_컨텐츠아카이빙\01. 빌리프 드라이브\zip파일\누끼컷 모음\23년 썸머에디션\JPG\,,,,,,,,,,,,,,,,,,,,,
DOC00164,1013_[빌리프] 23년 홀리데이 에디션_UV프로텍터 톤업 선스크린 스페셜 세트_세트박스_1차.jpg,.jpg,보류,2023. 10. 12,,,2.44,2.44,2495.34,2555224,C:\Users\LGCARE\Desktop\01. 빌리프_컨텐츠아카이빙\01. 빌리프 드라이브\zip파일\누끼컷 모음\23년 홀리데이 에디션 누끼컷\1017_[빌리프] 23년 홀리데이 에디션 누끼컷_2차\누끼컷\,,,,,,,,,,,,,,,,,,,,,
DOC00165,1013_[빌리프] 23년 홀리데이 에디션_오프 핸드크림 카밍 화이트 스페셜 세트_세트박스_1차.jpg,.jpg,보류,2023. 10. 12,,,1.58,1.58,1617.73,1656555,C:\Users\LGCARE\Desktop\01. 빌리프_컨텐츠아카이빙\01. 빌리프 드라이브\zip파일\누끼컷 모음\23년 홀리데이 에디션 누끼컷\1017_[빌리프] 23년 홀리데이 에디션 누끼컷_2차\누끼컷\,,,,,,,,,,,,,,,,,,,,,
DOC00166,1013_[빌리프] 23년 홀리데이 에디션_클래식 에센스 인크리멘트 100_점보개입_1차.jpg,.jpg,보류,2023. 10. 12,,,0.95,0.95,976.31,999742,C:\Users\LGCARE\Desktop\01. 빌리프_컨텐츠아카이빙\01. 빌리프 드라이브\zip파일\누끼컷 모음\23년 홀리데이 에디션 누끼컷\1017_[빌리프] 23년 홀리데이 에디션 누끼컷_2차\누끼컷\,,,,,,,,,,,,,,,,,,,,,
DOC00167,1017_[빌리프] 23년 홀리데이 에디션_뉴메로 10 에센스_세트박스_2차.jpg,.jpg,보류,2023. 10. 17,,,1.83,1.83,1876.05,1921078,C:\Users\LGCARE\Desktop\01. 빌리프_컨텐츠아카이빙\01. 빌리프 드라이브\zip파일\누끼컷 모음\23년 홀리데이 에디션 누끼컷\1017_[빌리프] 23년 홀리데이 에디션 누끼컷_2차\누끼컷\,,,,,,,,,,,,,,,,,,,,,
DOC00168,1017_[빌리프] 23년 홀리데이 에디션_더 트루 크림 모이스쳐라이징밤_세트박스_2차.jpg,.jpg,보류,2023. 10. 17,,,2.27,2.27,2321.48,2377199,C:\Users\LGCARE\Desktop\01. 빌리프_컨텐츠아카이빙\01. 빌리프 드라이브\zip파일\누끼컷 모음\23년 홀리데이 에디션 누끼컷\1017_[빌리프] 23년 홀리데이 에디션 누끼컷_2차\누끼컷\,,,,,,,,,,,,,,,,,,,,,
DOC00169,1017_[빌리프] 23년 홀리데이 에디션_맨올로지 101 스마트 모이스춰 익스트림 스페셜 세트_세트박스_2차.jpg,.jpg,보류,2023. 10. 17,,,2.15,2.15,2202.20,2255053,C:\Users\LGCARE\Desktop\01. 빌리프_컨텐츠아카이빙\01. 빌리프 드라이브\zip파일\누끼컷 모음\23년 홀리데이 에디션 누끼컷\1017_[빌리프] 23년 홀리데이 에디션 누끼컷_2차\누끼컷\,,,,,,,,,,,,,,,,,,,,,
DOC00170,1017_[빌리프] 23년 홀리데이 에디션_슈퍼나이츠 리제너레이팅 나이트 마스크_개입박스_2차.jpg,.jpg,보류,2023. 10. 17,,,1.74,1.74,1780.42,1823150,C:\Users\LGCARE\Desktop\01. 빌리프_컨텐츠아카이빙\01. 빌리프 드라이브\zip파일\누끼컷 모음\23년 홀리데이 에디션 누끼컷\1017_[빌리프] 23년 홀리데이 에디션 누끼컷_2차\누끼컷\,,,,,,,,,,,,,,,,,,,,,
DOC00171,1017_[빌리프] 23년 홀리데이 에디션_슈퍼나이츠 멀티비타민 마스크_개입박스_2차.jpg,.jpg,보류,2023. 10. 17,,,1.83,1.83,1875.18,1920184,C:\Users\LGCARE\Desktop\01. 빌리프_컨텐츠아카이빙\01. 빌리프 드라이브\zip파일\누끼컷 모음\23년 홀리데이 에디션 누끼컷\1017_[빌리프] 23년 홀리데이 에디션 누끼컷_2차\누끼컷\,,,,,,,,,,,,,,,,,,,,,
DOC00172,1017_[빌리프] 23년 홀리데이 에디션_에이지 넉다운 아이세럼 스페셜 세트_세트박스_2차.jpg,.jpg,보류,2023. 10. 17,,,1.55,1.55,1589.92,1628074,C:\Users\LGCARE\Desktop\01. 빌리프_컨텐츠아카이빙\01. 빌리프 드라이브\zip파일\누끼컷 모음\23년 홀리데이 에디션 누끼컷\1017_[빌리프] 23년 홀리데이 에디션 누끼컷_2차\누끼컷\,,,,,,,,,,,,,,,,,,,,,
DOC00173,1013_[빌리프] 23년 홀리데이 에디션_UV프로텍터 톤업 선스크린 스페셜 세트_세트컷_1차.jpg,.jpg,보류,2023. 10. 12,,,1.29,1.29,1325.69,1357504,C:\Users\LGCARE\Desktop\01. 빌리프_컨텐츠아카이빙\01. 빌리프 드라이브\zip파일\누끼컷 모음\23년 홀리데이 에디션 누끼컷\1017_[빌리프] 23년 홀리데이 에디션 누끼컷_2차\세트컷\,,,,,,,,,,,,,,,,,,,,,
DOC00174,1013_[빌리프] 23년 홀리데이 에디션_오프 핸드크림 카밍 화이트 스페셜 세트_세트컷.jpg,.jpg,보류,2023. 10. 12,,,1.14,1.14,1166.83,1194837,C:\Users\LGCARE\Desktop\01. 빌리프_컨텐츠아카이빙\01. 빌리프 드라이브\zip파일\누끼컷 모음\23년 홀리데이 에디션 누끼컷\1017_[빌리프] 23년 홀리데이 에디션 누끼컷_2차\세트컷\,,,,,,,,,,,,,,,,,,,,,
DOC00175,1013_[빌리프] 23년 홀리데이 에디션_클래식 에센스 인크리멘트 100_세트컷_1차.jpg,.jpg,보류,2023. 10. 12,,,1.23,1.23,1259.82,1290056,C:\Users\LGCARE\Desktop\01. 빌리프_컨텐츠아카이빙\01. 빌리프 드라이브\zip파일\누끼컷 모음\23년 홀리데이 에디션 누끼컷\1017_[빌리프] 23년 홀리데이 에디션 누끼컷_2차\세트컷\,,,,,,,,,,,,,,,,,,,,,
DOC00176,1017_[빌리프] 23년 홀리데이 에디션_뉴메로 10 에센스_세트컷_2차.jpg,.jpg,보류,2023. 10. 17,,,1.19,1.19,1223.14,1252500,C:\Users\LGCARE\Desktop\01. 빌리프_컨텐츠아카이빙\01. 빌리프 드라이브\zip파일\누끼컷 모음\23년 홀리데이 에디션 누끼컷\1017_[빌리프] 23년 홀리데이 에디션 누끼컷_2차\세트컷\,,,,,,,,,,,,,,,,,,,,,
DOC00177,1017_[빌리프] 23년 홀리데이 에디션_더 트루 크림 모이스쳐라이징밤_세트컷_2차.jpg,.jpg,보류,2023. 10. 17,,,1.11,1.11,1132.29,1159461,C:\Users\LGCARE\Desktop\01. 빌리프_컨텐츠아카이빙\01. 빌리프 드라이브\zip파일\누끼컷 모음\23년 홀리데이 에디션 누끼컷\1017_[빌리프] 23년 홀리데이 에디션 누끼컷_2차\세트컷\,,,,,,,,,,,,,,,,,,,,,
DOC00178,1017_[빌리프] 23년 홀리데이 에디션_맨올로지 101 스마트 모이스춰 익스트림 스페셜 세트_세트컷_2차.jpg,.jpg,보류,2023. 10. 17,,,1.15,1.15,1181.81,1210174,C:\Users\LGCARE\Desktop\01. 빌리프_컨텐츠아카이빙\01. 빌리프 드라이브\zip파일\누끼컷 모음\23년 홀리데이 에디션 누끼컷\1017_[빌리프] 23년 홀리데이 에디션 누끼컷_2차\세트컷\,,,,,,,,,,,,,,,,,,,,,
DOC00179,1017_[빌리프] 23년 홀리데이 에디션_슈퍼나이츠 리제너레이팅 나이트 마스크_세트컷_2차.jpg,.jpg,보류,2023. 10. 17,,,1.43,1.43,1468.79,1504040,C:\Users\LGCARE\Desktop\01. 빌리프_컨텐츠아카이빙\01. 빌리프 드라이브\zip파일\누끼컷 모음\23년 홀리데이 에디션 누끼컷\1017_[빌리프] 23년 홀리데이 에디션 누끼컷_2차\세트컷\,,,,,,,,,,,,,,,,,,,,,
DOC00180,1017_[빌리프] 23년 홀리데이 에디션_슈퍼나이츠 멀티비타민 마스크_세트컷_2차.jpg,.jpg,보류,2023. 10. 17,,,1.50,1.50,1531.16,1567906,C:\Users\LGCARE\Desktop\01. 빌리프_컨텐츠아카이빙\01. 빌리프 드라이브\zip파일\누끼컷 모음\23년 홀리데이 에디션 누끼컷\1017_[빌리프] 23년 홀리데이 에디션 누끼컷_2차\세트컷\,,,,,,,,,,,,,,,,,,,,,
DOC00181,1017_[빌리프] 23년 홀리데이 에디션_에이지 넉다운 아이세럼 스페셜 세트_세트컷_2차.jpg,.jpg,보류,2023. 10. 17,,,1.34,1.34,1371.68,1404604,C:\Users\LGCARE\Desktop\01. 빌리프_컨텐츠아카이빙\01. 빌리프 드라이브\zip파일\누끼컷 모음\23년 홀리데이 에디션 누끼컷\1017_[빌리프] 23년 홀리데이 에디션 누끼컷_2차\세트컷\,,,,,,,,,,,,,,,,,,,,,
DOC00182,[빌리프] UV프로텍터 아쿠아 밤 선 세럼 듀오 기획 세트.jpg,.jpg,보류,2024. 1. 24,,,5.45,5.45,5584.74,5718778,C:\Users\LGCARE\Desktop\01. 빌리프_컨텐츠아카이빙\01. 빌리프 드라이브\zip파일\누끼컷 모음\24년 선 대전\24.02\,,,,,,,,,,,,,,,,,,,,,
DOC00183,[빌리프] UV프로텍터 아쿠아 밤 선 세럼 듀오 기획 세트.png,.png,보류,2024. 1. 24,,,15.29,15.29,15655.71,16031449,C:\Users\LGCARE\Desktop\01. 빌리프_컨텐츠아카이빙\01. 빌리프 드라이브\zip파일\누끼컷 모음\24년 선 대전\24.02\,,,,,,,,,,,,,,,,,,,,,
DOC00184,[빌리프] UV프로텍터 아쿠아 밤 선 세럼 듀오 기획 세트.psd,.psd,보류,2024. 1. 24,,,67.85,67.85,69479.72,71147232,C:\Users\LGCARE\Desktop\01. 빌리프_컨텐츠아카이빙\01. 빌리프 드라이브\zip파일\누끼컷 모음\24년 선 대전\24.02\,,,,,,,,,,,,,,,,,,,,,
DOC00185,0130_[빌리프] UV 프로텍터 멀티 선스크린+ 80ml 개입_Q 출고데이터.jpg,.jpg,보류,2024. 1. 30,,,6.95,6.95,7113.93,7284665,C:\Users\LGCARE\Desktop\01. 빌리프_컨텐츠아카이빙\01. 빌리프 드라이브\zip파일\누끼컷 모음\24년 선 대전\24.03\,,,,,,,,,,,,,,,,,,,,,
DOC00186,0130_[빌리프] UV 프로텍터 멀티 선스크린+ 80ml 개입_Q 출고데이터.psd,.psd,보류,2024. 1. 30,,,86.66,86.66,88744.83,90874704,C:\Users\LGCARE\Desktop\01. 빌리프_컨텐츠아카이빙\01. 빌리프 드라이브\zip파일\누끼컷 모음\24년 선 대전\24.03\,,,,,,,,,,,,,,,,,,,,,
DOC00187,0130_[빌리프] UV 프로텍터 멀티 선스크린+ 80ml 세트컷_Q 출고데이터.jpg,.jpg,보류,2024. 1. 30,,,2.69,2.69,2756.74,2822897,C:\Users\LGCARE\Desktop\01. 빌리프_컨텐츠아카이빙\01. 빌리프 드라이브\zip파일\누끼컷 모음\24년 선 대전\24.03\,,,,,,,,,,,,,,,,,,,,,
DOC00188,0130_[빌리프] UV 프로텍터 톤업 선스크린 듀오 기획 세트 박스_Q 출고데이터.jpg,.jpg,보류,2024. 1. 30,,,15.22,15.22,15583.32,15957320,C:\Users\LGCARE\Desktop\01. 빌리프_컨텐츠아카이빙\01. 빌리프 드라이브\zip파일\누끼컷 모음\24년 선 대전\24.03\,,,,,,,,,,,,,,,,,,,,,
DOC00189,0130_[빌리프] UV 프로텍터 톤업 선스크린 듀오 기획 세트 박스_Q 출고데이터.psd,.psd,보류,2024. 1. 30,,,186.63,186.63,191107.57,195694147,C:\Users\LGCARE\Desktop\01. 빌리프_컨텐츠아카이빙\01. 빌리프 드라이브\zip파일\누끼컷 모음\24년 선 대전\24.03\,,,,,,,,,,,,,,,,,,,,,
DOC00190,0130_[빌리프] UV 프로텍터 톤업 선스크린 듀오 기획_세트컷_Q 출고데이터.jpg,.jpg,보류,2024. 1. 30,,,4.62,4.62,4732.48,4846061,C:\Users\LGCARE\Desktop\01. 빌리프_컨텐츠아카이빙\01. 빌리프 드라이브\zip파일\누끼컷 모음\24년 선 대전\24.03\,,,,,,,,,,,,,,,,,,,,,
DOC00191,0130_[빌리프] UV 프로텍터 톤업 선스크린 듀오 기획_세트컷_Q 출고데이터.psd,.psd,보류,2024. 1. 30,,,57.67,57.67,59058.97,60476390,C:\Users\LGCARE\Desktop\01. 빌리프_컨텐츠아카이빙\01. 빌리프 드라이브\zip파일\누끼컷 모음\24년 선 대전\24.03\,,,,,,,,,,,,,,,,,,,,,
DOC00192,1219_[빌리프] UV 프로텍터 멀티 선스크린+ 80ml 누끼컷_Q 출고데이터.jpg,.jpg,보류,2023. 12. 19,,,0.29,0.29,294.62,301695,C:\Users\LGCARE\Desktop\01. 빌리프_컨텐츠아카이빙\01. 빌리프 드라이브\zip파일\누끼컷 모음\24년 선 대전\24.03\,,,,,,,,,,,,,,,,,,,,,
DOC00193,1219_[빌리프] UV 프로텍터 멀티 선스크린+ 80ml 누끼컷_Q 출고데이터.png,.png,보류,2023. 12. 19,,,2.93,2.93,2997.88,3069825,C:\Users\LGCARE\Desktop\01. 빌리프_컨텐츠아카이빙\01. 빌리프 드라이브\zip파일\누끼컷 모음\24년 선 대전\24.03\,,,,,,,,,,,,,,,,,,,,,
DOC00194,1219_[빌리프] UV 프로텍터 멀티 선스크린+ 80ml 누끼컷_Q 출고데이터.psd,.psd,보류,2023. 12. 19,,,14.31,14.31,14657.37,15009144,C:\Users\LGCARE\Desktop\01. 빌리프_컨텐츠아카이빙\01. 빌리프 드라이브\zip파일\누끼컷 모음\24년 선 대전\24.03\,,,,,,,,,,,,,,,,,,,,,
DOC00195,0208_[빌리프] 해피 보 선스크린 선스틱 듀오 기획 누끼컷_Q 출고데이터.jpg,.jpg,보류,2024. 2. 8,,,6.60,6.60,6761.47,6923749,C:\Users\LGCARE\Desktop\01. 빌리프_컨텐츠아카이빙\01. 빌리프 드라이브\zip파일\누끼컷 모음\24년 선 대전\24.04\,,,,,,,,,,,,,,,,,,,,,
DOC00196,0208_[빌리프] 해피 보 선스크린 선스틱 듀오 기획 누끼컷_Q 출고데이터.png,.png,보류,2024. 2. 8,,,18.16,18.16,18591.76,19037966,C:\Users\LGCARE\Desktop\01. 빌리프_컨텐츠아카이빙\01. 빌리프 드라이브\zip파일\누끼컷 모음\24년 선 대전\24.04\,,,,,,,,,,,,,,,,,,,,,
DOC00197,0208_[빌리프] 해피 보 선스크린 선스틱 듀오 기획 누끼컷_Q 출고데이터.psd,.psd,보류,2024. 2. 8,,,64.85,64.85,66404.20,67997903,C:\Users\LGCARE\Desktop\01. 빌리프_컨텐츠아카이빙\01. 빌리프 드라이브\zip파일\누끼컷 모음\24년 선 대전\24.04\,,,,,,,,,,,,,,,,,,,,,
DOC00198,0208_[빌리프] 해피 보 선스크린 선스틱 듀오 기획 세트컷_Q 출고데이터.jpg,.jpg,보류,2024. 2. 8,,,8.85,8.85,9061.21,9278683,C:\Users\LGCARE\Desktop\01. 빌리프_컨텐츠아카이빙\01. 빌리프 드라이브\zip파일\누끼컷 모음\24년 선 대전\24.04\,,,,,,,,,,,,,,,,,,,,,
DOC00199,0208_[빌리프] 해피 보 선스크린 선스틱 듀오 기획 세트컷_Q 출고데이터.png,.png,보류,2024. 2. 8,,,26.52,26.52,27161.50,27813371,C:\Users\LGCARE\Desktop\01. 빌리프_컨텐츠아카이빙\01. 빌리프 드라이브\zip파일\누끼컷 모음\24년 선 대전\24.04\,,,,,,,,,,,,,,,,,,,,,
DOC00200,0208_[빌리프] 해피 보 선스크린 선스틱 듀오 기획 세트컷_Q 출고데이터.psd,.psd,보류,2024. 2. 8,,,105.24,105.24,107770.30,110356786,C:\Users\LGCARE\Desktop\01. 빌리프_컨텐츠아카이빙\01. 빌리프 드라이브\zip파일\누끼컷 모음\24년 선 대전\24.04\,,,,,,,,,,,,,,,,,,,,,
DOC00201,1130_[빌리프] 24년 신년 세트_뉴메로 박스_Q 출고데이터.jpg,.jpg,보류,2023. 11. 30,,,4.06,4.06,4157.04,4256806,C:\Users\LGCARE\Desktop\01. 빌리프_컨텐츠아카이빙\01. 빌리프 드라이브\zip파일\누끼컷 모음\24년 설 에디션 누끼컷\,,,,,,,,,,,,,,,,,,,,,
DOC00202,1130_[빌리프] 24년 신년 세트_뉴메로 박스_Q 출고데이터.psd,.psd,보류,2023. 11. 30,,,51.05,51.05,52276.62,53531262,C:\Users\LGCARE\Desktop\01. 빌리프_컨텐츠아카이빙\01. 빌리프 드라이브\zip파일\누끼컷 모음\24년 설 에디션 누끼컷\,,,,,,,,,,,,,,,,,,,,,
DOC00203,1130_[빌리프] 24년 신년 세트_뉴메로 세트_Q 출고데이터.jpg,.jpg,보류,2023. 11. 30,,,3.88,3.88,3970.26,4065543,C:\Users\LGCARE\Desktop\01. 빌리프_컨텐츠아카이빙\01. 빌리프 드라이브\zip파일\누끼컷 모음\24년 설 에디션 누끼컷\,,,,,,,,,,,,,,,,,,,,,
DOC00204,1130_[빌리프] 24년 신년 세트_뉴메로 세트_Q 출고데이터.psd,.psd,보류,2023. 11. 30,,,40.63,40.63,41600.63,42599043,C:\Users\LGCARE\Desktop\01. 빌리프_컨텐츠아카이빙\01. 빌리프 드라이브\zip파일\누끼컷 모음\24년 설 에디션 누끼컷\,,,,,,,,,,,,,,,,,,,,,
DOC00205,0411_[빌리프] 해피 보 토탈 젤 워시 350ml 개입박스_Q 출고데이터.jpg,.jpg,,2024. 4. 11,,,1.08,1.08,1109.37,1135995,C:\Users\LGCARE\Desktop\01. 빌리프_컨텐츠아카이빙\01. 빌리프 드라이브\zip파일\누끼컷 모음\Y23 해피보 브레이브보\토탈 젤 워시\JPG\,,,,,,,,,,,,,,,,,,,,,
DOC00206,0411_[빌리프] 해피 보 토탈 젤 워시 350ml 세트_Q 출고데이터.jpg,.jpg,,2024. 4. 11,,,1.27,1.27,1298.49,1329655,C:\Users\LGCARE\Desktop\01. 빌리프_컨텐츠아카이빙\01. 빌리프 드라이브\zip파일\누끼컷 모음\Y23 해피보 브레이브보\토탈 젤 워시\JPG\,,,,,,,,,,,,,,,,,,,,,
DOC00207,0411_[빌리프] 해피 보 토탈 젤 워시 350ml_Q 출고데이터.jpg,.jpg,,2024. 4. 11,,,0.42,0.42,427.87,438134,C:\Users\LGCARE\Desktop\01. 빌리프_컨텐츠아카이빙\01. 빌리프 드라이브\zip파일\누끼컷 모음\Y23 해피보 브레이브보\토탈 젤 워시\JPG\,,,,,,,,,,,,,,,,,,,,,
DOC00208,0411_[빌리프] 해피 보 토탈 젤 워시 350ml 개입박스_Q 출고데이터.png,.png,,2024. 4. 11,,,8.49,8.49,8696.83,8905557,C:\Users\LGCARE\Desktop\01. 빌리프_컨텐츠아카이빙\01. 빌리프 드라이브\zip파일\누끼컷 모음\Y23 해피보 브레이브보\토탈 젤 워시\PNG\,,,,,,,,,,,,,,,,,,,,,
DOC00209,0411_[빌리프] 해피 보 토탈 젤 워시 350ml 세트_Q 출고데이터.png,.png,,2024. 4. 11,,,11.38,11.38,11651.16,11930788,C:\Users\LGCARE\Desktop\01. 빌리프_컨텐츠아카이빙\01. 빌리프 드라이브\zip파일\누끼컷 모음\Y23 해피보 브레이브보\토탈 젤 워시\PNG\,,,,,,,,,,,,,,,,,,,,,
DOC00210,0411_[빌리프] 해피 보 토탈 젤 워시 350ml_Q 출고데이터.png,.png,,2024. 4. 11,,,4.48,4.48,4588.54,4698661,C:\Users\LGCARE\Desktop\01. 빌리프_컨텐츠아카이빙\01. 빌리프 드라이브\zip파일\누끼컷 모음\Y23 해피보 브레이브보\토탈 젤 워시\PNG\,,,,,,,,,,,,,,,,,,,,,
DOC00211,0411_[빌리프] 해피 보 토탈 젤 워시 350ml 개입박스_Q 출고데이터.psd,.psd,,2024. 4. 11,,,36.00,36.00,36864.08,37748819,C:\Users\LGCARE\Desktop\01. 빌리프_컨텐츠아카이빙\01. 빌리프 드라이브\zip파일\누끼컷 모음\Y23 해피보 브레이브보\토탈 젤 워시\PSD\,,,,,,,,,,,,,,,,,,,,,
DOC00212,0411_[빌리프] 해피 보 토탈 젤 워시 350ml 세트_Q 출고데이터.psd,.psd,,2024. 4. 11,,,50.23,50.23,51433.29,52667686,C:\Users\LGCARE\Desktop\01. 빌리프_컨텐츠아카이빙\01. 빌리프 드라이브\zip파일\누끼컷 모음\Y23 해피보 브레이브보\토탈 젤 워시\PSD\,,,,,,,,,,,,,,,,,,,,,
DOC00213,0411_[빌리프] 해피 보 토탈 젤 워시 350ml_Q 출고데이터.psd,.psd,,2024. 4. 11,,,22.71,22.71,23251.78,23809819,C:\Users\LGCARE\Desktop\01. 빌리프_컨텐츠아카이빙\01. 빌리프 드라이브\zip파일\누끼컷 모음\Y23 해피보 브레이브보\토탈 젤 워시\PSD\,,,,,,,,,,,,,,,,,,,,,
DOC00214,0416_[빌리프] 해피 보 토탈 젤 워시 5ml_누끼컷_Q 출고데이터.jpg,.jpg,,2024. 4. 16,,,0.14,0.14,144.74,148213,C:\Users\LGCARE\Desktop\01. 빌리프_컨텐츠아카이빙\01. 빌리프 드라이브\zip파일\누끼컷 모음\Y23 해피보 브레이브보\토탈 젤 워시\견본\,,,,,,,,,,,,,,,,,,,,,
