문서 번호,(구)파일명,확장자,이동 상태,최종 업로드일,담당자(부서),권한 정보,용량(MB),용량(MB),용량(KB),용량,Folder Path,,,,,,,,,,,,,,,,,,,,,
DOC00018,0407_[빌리프] 브레이브 보 페이셜 버블 워시 150ml_Q 출고데이터.psd,.psd,,2023. 4. 7,,,40.94,40.94,41926.61,42932845,C:\Users\LGCARE\Desktop\01. 빌리프_컨텐츠아카이빙\01. 빌리프 드라이브\zip파일\누끼컷 모음\0407_[빌리프] 브레이브 보 정품 누끼컷_Q 출고데이터\,,,,,,,,,,,,,,,,,,,,,
DOC00019,0407_[빌리프] 브레이브 보 마일드 젤리 샴푸 250ml_Q 출고데이터.jpg,.jpg,,2023. 4. 7,,,0.80,0.80,821.37,841085,C:\Users\LGCARE\Desktop\01. 빌리프_컨텐츠아카이빙\01. 빌리프 드라이브\zip파일\누끼컷 모음\0407_[빌리프] 브레이브 보 정품 누끼컷_Q 출고데이터\JPG\,,,,,,,,,,,,,,,,,,,,,
DOC00020,0407_[빌리프] 브레이브 보 올인원 페이셜 로션 125ml_Q 출고데이터.jpg,.jpg,,2023. 4. 7,,,0.64,0.64,658.09,673884,C:\Users\LGCARE\Desktop\01. 빌리프_컨텐츠아카이빙\01. 빌리프 드라이브\zip파일\누끼컷 모음\0407_[빌리프] 브레이브 보 정품 누끼컷_Q 출고데이터\JPG\,,,,,,,,,,,,,,,,,,,,,
DOC00021,0407_[빌리프] 브레이브 보 페이셜 버블 워시 150ml_Q 출고데이터.jpg,.jpg,,2023. 4. 7,,,0.77,0.77,786.11,804973,C:\Users\LGCARE\Desktop\01. 빌리프_컨텐츠아카이빙\01. 빌리프 드라이브\zip파일\누끼컷 모음\0407_[빌리프] 브레이브 보 정품 누끼컷_Q 출고데이터\JPG\,,,,,,,,,,,,,,,,,,,,,
DOC00022,0407_[빌리프] 브레이브 보 마일드 젤리 샴푸 250ml_Q 출고데이터.png,.png,,2023. 4. 7,,,8.85,8.85,9067.31,9284927,C:\Users\LGCARE\Desktop\01. 빌리프_컨텐츠아카이빙\01. 빌리프 드라이브\zip파일\누끼컷 모음\0407_[빌리프] 브레이브 보 정품 누끼컷_Q 출고데이터\PNG\,,,,,,,,,,,,,,,,,,,,,
DOC00023,0407_[빌리프] 브레이브 보 올인원 페이셜 로션 125ml_Q 출고데이터.png,.png,,2023. 4. 7,,,5.99,5.99,6133.19,6280383,C:\Users\LGCARE\Desktop\01. 빌리프_컨텐츠아카이빙\01. 빌리프 드라이브\zip파일\누끼컷 모음\0407_[빌리프] 브레이브 보 정품 누끼컷_Q 출고데이터\PNG\,,,,,,,,,,,,,,,,,,,,,
DOC00024,0407_[빌리프] 브레이브 보 페이셜 버블 워시 150ml_Q 출고데이터.png,.png,,2023. 4. 7,,,7.76,7.76,7947.26,8137991,C:\Users\LGCARE\Desktop\01. 빌리프_컨텐츠아카이빙\01. 빌리프 드라이브\zip파일\누끼컷 모음\0407_[빌리프] 브레이브 보 정품 누끼컷_Q 출고데이터\PNG\,,,,,,,,,,,,,,,,,,,,,
DOC00025,0407_[빌리프] 해피 보 마일드 선 스크린 50ml_Q 출고데이터.psd,.psd,,2023. 4. 7,,,55.77,55.77,57110.72,58481378,C:\Users\LGCARE\Desktop\01. 빌리프_컨텐츠아카이빙\01. 빌리프 드라이브\zip파일\누끼컷 모음\0407_[빌리프] 해피 보 정품 누끼컷_Q 출고데이터\,,,,,,,,,,,,,,,,,,,,,
DOC00026,0407_[빌리프] 해피 보 마일드 클렌징 워터 200ml_Q 출고데이터.psd,.psd,,2023. 4. 7,,,42.82,42.82,43842.59,44894817,C:\Users\LGCARE\Desktop\01. 빌리프_컨텐츠아카이빙\01. 빌리프 드라이브\zip파일\누끼컷 모음\0407_[빌리프] 해피 보 정품 누끼컷_Q 출고데이터\,,,,,,,,,,,,,,,,,,,,,
DOC00027,0407_[빌리프] 해피 보 선 메탈 쿠션 15g_Q 출고데이터.psd,.psd,,2023. 4. 7,,,52.42,52.42,53673.32,54961483,C:\Users\LGCARE\Desktop\01. 빌리프_컨텐츠아카이빙\01. 빌리프 드라이브\zip파일\누끼컷 모음\0407_[빌리프] 해피 보 정품 누끼컷_Q 출고데이터\,,,,,,,,,,,,,,,,,,,,,
DOC00028,0407_[빌리프] 해피 보 소프트 수딩 크림 150ml_Q 출고데이터.psd,.psd,,2023. 4. 7,,,53.44,53.44,54718.16,56031396,C:\Users\LGCARE\Desktop\01. 빌리프_컨텐츠아카이빙\01. 빌리프 드라이브\zip파일\누끼컷 모음\0407_[빌리프] 해피 보 정품 누끼컷_Q 출고데이터\,,,,,,,,,,,,,,,,,,,,,
DOC00029,0407_[빌리프] 해피 보 이지워시 선스틱_Q 출고데이터.psd,.psd,,2023. 4. 7,,,42.05,42.05,43055.14,44088467,C:\Users\LGCARE\Desktop\01. 빌리프_컨텐츠아카이빙\01. 빌리프 드라이브\zip파일\누끼컷 모음\0407_[빌리프] 해피 보 정품 누끼컷_Q 출고데이터\,,,,,,,,,,,,,,,,,,,,,
DOC00030,0407_[빌리프] 해피 보 탑투토 올인원 워시 300ml_Q 출고데이터.psd,.psd,,2023. 4. 7,,,40.65,40.65,41630.01,42629128,C:\Users\LGCARE\Desktop\01. 빌리프_컨텐츠아카이빙\01. 빌리프 드라이브\zip파일\누끼컷 모음\0407_[빌리프] 해피 보 정품 누끼컷_Q 출고데이터\,,,,,,,,,,,,,,,,,,,,,
